idDrink,Name,Category,Alcoholic,Glass,Instructions,Thumbnail,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure1 (ml),Measure2 (ml),Measure3 (ml),Measure4 (ml),Measure5 (ml),Measure6 (ml)
17222,A1,Cocktail,Alcoholic,Cocktail glass,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,Gin,Grand Marnier,Lemon Juice,Grenadine,,,1 3/4 *44 ml ,1 *44 ml,1/4 *44 ml,1/8 *44 ml,0,0,143,44,11,5.5,0,0
13501,ABC,Shot,Alcoholic,Shot glass,Layered in a shot glass.,https://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,Amaretto,Baileys irish cream,Cognac,,,,1/3 ,1/3 ,1/3 ,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0
17225,Ace,Cocktail,Alcoholic,Martini Glass,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,Gin,Grenadine,Heavy cream,Milk,Egg White,,2 *44 mls ,1/2 *44 ml ,1/2 *44 ml ,1/2 *44 ml,1/2 Fresh,0,88,22,22,22,1/2 Fresh,0
17837,Adam,Ordinary Drink,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/v0at4i1582478473.jpg,Dark rum,Lemon juice,Grenadine,,,,2 *30 ml ,1 *30 ml ,1 *5 ml ,0,0,0,60,30,5,0,0,0
13938,AT&T,Ordinary Drink,Alcoholic,Highball Glass,"Pour Vodka and Gin over ice, add Tonic and Stir",https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,Absolut Vodka,Gin,Tonic water,,,,1 *30 ml ,1 *30 ml ,4 *30 ml ,0,0,0,30,30,120,0,0,0
14610,ACID,Shot,Alcoholic,Shot glass,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,https://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,151 proof rum,Wild Turkey,,,,,1 *30 ml Bacardi ,1 *30 ml ,0,0,0,0,30,30,0,0,0,0
17833,A. J.,Ordinary Drink,Alcoholic,Cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg,Applejack,Grapefruit juice,,,,,1 1/2 *30 ml ,1 *30 ml ,0,0,0,0,165,30,0,0,0,0
17839,Affair,Ordinary Drink,Alcoholic,Highball glass,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg,Strawberry schnapps,Orange juice,Cranberry juice,Club soda,,,2 *30 ml ,2 *30 ml ,2 *30 ml ,0,0,0,60,60,60,0,0,0
15266,Avalon,Ordinary Drink,Alcoholic,Highball glass,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg,Vodka,Pisang Ambon,Apple juice,Lemon juice,Lemonade,,3,1,6,1 1/2,0,0,3,1,6,1 1/2,0,0
17835,Abilene,Ordinary Drink,Alcoholic,Highball glass,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/smb2oe1582479072.jpg,Dark rum,Peach nectar,Orange juice,,,,1 1/2 *30 ml ,2 *30 ml ,3 *30 ml ,0,0,0,165,60,90,0,0,0
