idDrink,Name,Category,Alcoholic,Glass,Instructions,Thumbnail,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure1 (ml),Measure2 (ml),Measure3 (ml),Measure4 (ml),Measure5 (ml),Measure6 (ml),Measure1 (percent),Measure2 (percent),Measure3 (percent),Measure4 (percent),Measure5 (percent),Measure6 (percent)
17222,A1,Cocktail,Alcoholic,Cocktail glass,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,Gin,Grand Marnier,Lemon Juice,Grenadine,,,1 3/4 *44 ml ,1 *44 ml,1/4 *44 ml,1/8 *44 ml,0,0,143,44,11,5.5,0,0,70,21,5,2,0,0
13501,ABC,Shot,Alcoholic,Shot glass,Layered in a shot glass.,https://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,Amaretto,Baileys irish cream,Cognac,,,,1/3 ,1/3 ,1/3 ,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,33,33,33,0,0,0
17837,Adam,Ordinary Drink,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/v0at4i1582478473.jpg,Dark rum,Lemon juice,Grenadine,,,,2 *30 ml ,1 *30 ml ,1 *5 ml ,0,0,0,60,30,5,0,0,0,63,31,5,0,0,0
13938,AT&T,Ordinary Drink,Alcoholic,Highball Glass,"Pour Vodka and Gin over ice, add Tonic and Stir",https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,Absolut Vodka,Gin,Tonic water,,,,1 *30 ml ,1 *30 ml ,4 *30 ml ,0,0,0,30,30,120,0,0,0,16,16,66,0,0,0
14610,ACID,Shot,Alcoholic,Shot glass,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,https://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,151 proof rum,Wild Turkey,,,,,1 *30 ml Bacardi ,1 *30 ml ,0,0,0,0,30,30,0,0,0,0,50,50,0,0,0,0
17833,A. J.,Ordinary Drink,Alcoholic,Cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg,Applejack,Grapefruit juice,,,,,1 1/2 *30 ml ,1 *30 ml ,0,0,0,0,165,30,0,0,0,0,84,15,0,0,0,0
17839,Affair,Ordinary Drink,Alcoholic,Highball glass,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg,Strawberry schnapps,Orange juice,Cranberry juice,Club soda,,,2 *30 ml ,2 *30 ml ,2 *30 ml ,0,0,0,60,60,60,0,0,0,33,33,33,0,0,0
17835,Abilene,Ordinary Drink,Alcoholic,Highball glass,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/smb2oe1582479072.jpg,Dark rum,Peach nectar,Orange juice,,,,1 1/2 *30 ml ,2 *30 ml ,3 *30 ml ,0,0,0,165,60,90,0,0,0,52,19,28,0,0,0
11023,Almeria,Ordinary Drink,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,Dark rum,Kahlua,Egg white,,,,2 *30 ml ,1 *30 ml ,1,0,0,0,60,30,1,0,0,0,65,32,1,0,0,0
17228,Addison,Cocktail,Alcoholic,Martini Glass,Shake together all the ingredients and strain into a cold glass.,https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,Gin,Vermouth,,,,,1 1/2 *44 ml ,1 1/2 *44 ml ,0,0,0,0,242,242,0,0,0,0,50,50,0,0,0,0
11046,Applecar,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,Applejack,Triple sec,Lemon juice,,,,1 *30 ml ,1 *30 ml ,1 *30 ml ,0,0,0,30,30,30,0,0,0,33,33,33,0,0,0
17180,Aviation,Cocktail,Alcoholic,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,https://www.thecocktaildb.com/images/media/drink/ruutxt1478253328.jpg,Gin,lemon juice,maraschino liqueur,,,,4.5 *10 ml,1.5 *10 ml,1.5 *10 ml,0,0,0,45,15,15,0,0,0,60,20,20,0,0,0
11014,Alexander,Ordinary Drink,Alcoholic,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,https://www.thecocktaildb.com/images/media/drink/urystu1478253039.jpg,Gin,Creme de Cacao,Light cream,Nutmeg,,,1/2 *30 ml ,1/2 *30 ml white ,2 *30 ml ,0,0,0,15,15,60,0,0,0,16,16,66,0,0,0
11020,Algonquin,Ordinary Drink,Alcoholic,Cocktail glass,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg,Blended whiskey,Dry Vermouth,Pineapple juice,,,,1 1/2 *30 ml ,1 *30 ml ,1 *30 ml ,0,0,0,165,30,30,0,0,0,73,13,13,0,0,0
15182,After sex,Ordinary Drink,Alcoholic,Highball glass,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,https://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg,Vodka,Creme de Banane,Orange juice,,,,2 *10 ml ,1 *10 ml ,0,0,0,0,20,10,0,0,0,0,66,33,0,0,0,0
